P-value,Test,Generator,n
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.515281577326978e-08,Furier,GLCG,1000
0.9630302978004643,KS,RC,1000
0.0037440419197669605,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
1.0,KS,Ziff,1000
0.0,Chi,Ziff,1000
0.009008945293330538,Furier,Ziff,1000
0.4506032105688922,KS,Marsagli,1000
0.268998273035049,Chi,Marsagli,1000
0.38398816339805664,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9630398251488247,poker,RC,1000
0.0,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9777246763941413,KS,RC,1000
0.06253159034707079,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.9980460682178429,KS,Ziff,1000
9.565485173834709e-06,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.42868088398255844,KS,Marsagli,1000
0.562297875952242,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9953822041229231,poker,RC,1000
0.0,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9848800204065601,KS,RC,1000
0.2864435114343946,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.8606968080427264,KS,Ziff,1000
0.10809029150860316,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.8666245532791844,KS,Marsagli,1000
0.07418310624837665,Chi,Marsagli,1000
0.04222117524716241,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9461764679689231,poker,RC,1000
0.0,poker,Ziff,1000
0.6975746165954975,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.7479855009781353,KS,RC,1000
0.24237911653295108,Chi,RC,1000
1.0,Furier,RC,1000
0.13646875991009422,KS,Ziff,1000
0.8072935986005787,Chi,Ziff,1000
0.04222117524716241,Furier,Ziff,1000
0.5307749933042404,KS,Marsagli,1000
0.7964615528500393,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.5017753475811946,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9807009256099918,KS,RC,1000
0.3439330870796964,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.3059488595381914,KS,Ziff,1000
0.48705992231926176,Chi,Ziff,1000
