P-value,Test,Generator,n
0.6028867025520839,KS,GLCG,100
0.2622487545949661,Chi,GLCG,100
0.6463551955394902,Furier,GLCG,100
0.5212604326700647,KS,RC,100
0.5749034238644566,Chi,RC,100
0.16866861888781512,Furier,RC,100
0.6028867025520839,KS,Ziff,100
0.2622487545949661,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.9045007003975981,KS,Marsagli,100
0.2368098152177328,Chi,Marsagli,100
0.16866861888781512,Furier,Marsagli,100
0.0,poker,GLCG,100
0.9623885648836785,poker,RC,100
0.0,poker,Ziff,100
0.49674478913125353,poker,Marsagli,100
0.34310039577370044,KS,GLCG,100
0.47498568664801044,Chi,GLCG,100
0.6463551955394902,Furier,GLCG,100
0.9665528821280571,KS,RC,100
0.007159977008541207,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.34310039577370044,KS,Ziff,100
0.47498568664801044,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.02698667263188259,KS,Marsagli,100
0.8165367975972468,Chi,Marsagli,100
0.16866861888781512,Furier,Marsagli,100
0.49674478913125353,poker,GLCG,100
0.38649627539558384,poker,RC,100
0.49674478913125353,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
0.47376832721840323,KS,GLCG,100
0.1718668374668445,Chi,GLCG,100
0.6463551955394902,Furier,GLCG,100
0.6619398033857572,KS,RC,100
0.0013987676797965198,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.47376832721840323,KS,Ziff,100
0.1718668374668445,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.31671474784696996,KS,Marsagli,100
0.6163052249833645,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.9623885648836785,poker,RC,100
0.0,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
0.9955323639259954,KS,GLCG,100
8.239143969768215e-05,Chi,GLCG,100
0.6463551955394902,Furier,GLCG,100
0.03793033283976788,KS,RC,100
0.31908350214261505,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.9955323639259954,KS,Ziff,100
8.239143969768215e-05,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.6634112186126584,KS,Marsagli,100
0.2133093050834175,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.948501311186415,poker,RC,100
0.0,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.030218759282039098,KS,RC,100
0.8343082601934078,Chi,RC,100
0.6463551955394902,Furier,RC,100
1.0,KS,Ziff,100
0.0,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.2684331734849291,KS,Marsagli,100
0.40119928658025783,Chi,Marsagli,100
0.16866861888781512,Furier,Marsagli,100
0.0,poker,GLCG,100
0.9268785293543716,poker,RC,100
0.0,poker,Ziff,100
0.49674478913125353,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.44131829352517293,KS,RC,100
0.49439168648212295,Chi,RC,100
0.16866861888781512,Furier,RC,100
0.7690986560215676,KS,Ziff,100
0.26224875459496566,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.3840050122027431,KS,Marsagli,100
0.2757089367722214,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.26186381283832194,poker,RC,100
1.6653345369377348e-15,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.7344069106310699,KS,RC,100
0.40119928658025716,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.7268641911640206,KS,Ziff,100
0.137282353126585,Chi,Ziff,100
0.16866861888781512,Furier,Ziff,100
0.2435272451409235,KS,Marsagli,100
0.4943916864821215,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.5417079254426658,poker,RC,100
0.49674478913125353,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.9768110986294178,KS,RC,100
0.04567457441182021,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.8952998505286128,KS,Ziff,100
0.12961959133276268,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.20274621729001718,KS,Marsagli,100
0.6993125708664081,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.9753160594451951,poker,RC,100
0.0,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.21305420150245147,KS,RC,100
0.3669177991127538,Chi,RC,100
0.6463551955394902,Furier,RC,100
0.9999999999999967,KS,Ziff,100
0.0,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.3292363933869713,KS,Marsagli,100
0.06688158777412645,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.948501311186415,poker,RC,100
0.0,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.37873956935816433,KS,RC,100
0.6993125708664093,Chi,RC,100
0.6463551955394902,Furier,RC,100
1.0,KS,Ziff,100
0.0,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.28918536464270894,KS,Marsagli,100
0.7791877161648363,Chi,Marsagli,100
0.16866861888781512,Furier,Marsagli,100
0.0,poker,GLCG,100
0.9268785293543716,poker,RC,100
0.0,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.5403756396694548,KS,RC,100
0.21330930508341694,Chi,RC,100
0.16866861888781512,Furier,RC,100
0.2216520389571517,KS,Ziff,100
0.20226768540582618,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.8823395487754052,KS,Marsagli,100
0.4011992865802583,Chi,Marsagli,100
0.16866861888781512,Furier,Marsagli,100
0.0,poker,GLCG,100
0.655602297758833,poker,RC,100
0.49674478913125353,poker,Ziff,100
0.49674478913125353,poker,Marsagli,100
1.0,KS,GLCG,100
0.0,Chi,GLCG,100
0.16866861888781512,Furier,GLCG,100
0.8351006661447941,KS,RC,100
0.12961959133276246,Chi,RC,100
0.16866861888781512,Furier,RC,100
0.27618682540246553,KS,Ziff,100
0.534146216909691,Chi,Ziff,100
0.6463551955394902,Furier,Ziff,100
0.7156976973645766,KS,Marsagli,100
0.008266275900149167,Chi,Marsagli,100
0.6463551955394902,Furier,Marsagli,100
0.0,poker,GLCG,100
0.655602297758833,poker,RC,100
0.9954756380723901,poker,Ziff,100
0.9954756380723901,poker,Marsagli,100
