P-value,Liczba,Test,n
0.09301910456066897,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.1441270348160153,Pi,monobit,3000
0.12512238701328693,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.2896315338632989,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.6350058912972967,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.09301910456066897,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.2426153026580753,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.08612592865412205,Pi,monobit,3000
0.5347626571414008,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.10034824646229068,Pi,monobit,3000
0.12512238701328693,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.17667974480966864,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.16526990723277724,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.17667974480966864,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
1.0,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.2896315338632989,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.11638301016017394,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.2426153026580753,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.6612572218537376,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.2426153026580753,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.057594521649053876,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
1.0,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.08612592865412205,Pi,monobit,3000
0.02845973691631065,Pi,monobit,3000
0.067889154861829,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.02357904149470702,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.1544237061170961,Pi,monobit,3000
0.017622090962324366,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.005518004932424825,Pi,monobit,3000
1.0,Pi,monobit,3000
0.6350058912972967,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.11638301016017394,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.12512238701328693,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.6612572218537376,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.1544237061170961,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.6612572218537376,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.2426153026580753,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.044609718024939626,Pi,monobit,3000
0.16526990723277724,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.03418687901967821,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.03121074471671892,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.11638301016017394,Pi,monobit,3000
0.057594521649053876,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.2896315338632989,Pi,monobit,3000
0.017622090962324366,Pi,monobit,3000
0.1081305453115029,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.3424244469216555,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.2896315338632989,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.6092056132701684,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.6350058912972967,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.1544237061170961,Pi,monobit,3000
0.03121074471671892,Pi,monobit,3000
0.27332167829229803,Pi,monobit,3000
0.1544237061170961,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.01595342770019914,Pi,monobit,3000
0.044609718024939626,Pi,monobit,3000
0.22820730654462995,Pi,monobit,3000
0.013027782262899024,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.6092056132701684,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.1081305453115029,Pi,monobit,3000
0.044609718024939626,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
